position,full_name,team_name,now_cost_millions,total_points,points_per_game,form,ict_index,selected_by_percent,value_score,status,news
Defender,Virgil van Dijk,Liverpool,6.2,130,4.5,7.2,140.3,32.5,43.16,a,
Defender,Nico O'Reilly,Man City,5.1,123,4.6,7.6,116.5,9.4,41.57,a,
Defender,Gabriel dos Santos Magalhães,Arsenal,7.2,164,6.8,5.8,96.5,43.5,39.22,a,
Defender,Marcos Senesi Barón,Bournemouth,5.0,126,4.5,5.5,133.0,17.4,37.17,a,
Defender,Jurriën Timber,Arsenal,6.3,148,5.1,5.4,124.6,28.5,37.13,a,
Defender,Adrien Truffert,Bournemouth,4.6,107,3.7,6.2,104.8,2.4,34.3,a,
Defender,James Tarkowski,Everton,5.7,136,4.7,5.0,120.0,11.1,34.1,a,
Defender,Daniel Ballard,Sunderland,4.6,114,4.6,5.2,111.5,3.7,33.84,a,
Defender,Marc Guéhi,Man City,5.2,133,4.9,3.8,119.3,37.3,32.39,a,
Defender,Malick Thiaw,Newcastle,5.0,105,4.0,4.8,113.0,4.2,31.41,a,
Forward,João Pedro Junqueira de Jesus,Chelsea,7.7,160,5.5,9.5,189.4,47.4,56.96,a,
Forward,Erling Haaland,Man City,14.6,195,7.0,4.8,240.7,61.4,48.24,a,
Forward,Jarrod Bowen,West Ham,7.5,135,4.7,5.0,179.7,7.6,39.0,a,
Forward,Igor Thiago Nascimento Rodrigues,Brentford,7.2,143,4.9,3.0,199.7,34.6,36.9,a,
Forward,Hugo Ekitiké,Liverpool,9.1,123,4.7,4.6,153.5,34.0,35.7,a,
Forward,Benjamin Sesko,Man Utd,7.3,89,3.7,6.5,115.5,5.9,35.1,a,
Forward,Raúl Jiménez Rodríguez,Fulham,6.2,97,3.5,3.8,137.4,2.9,29.18,a,
Forward,Danny Welbeck,Brighton,6.1,92,3.3,4.4,111.6,3.8,28.1,a,
Forward,Viktor Gyökeres,Arsenal,8.8,94,3.4,3.8,116.5,12.1,26.06,a,
Forward,Dominic Calvert-Lewin,Leeds,5.7,108,4.2,1.5,138.3,9.0,24.33,a,
Goalkeeper,Dean Henderson,Crystal Palace,5.0,115,4.0,6.2,70.1,8.1,31.52,a,
Goalkeeper,Đorđe Petrović,Bournemouth,4.5,94,3.2,5.2,65.9,5.0,26.59,a,
Goalkeeper,Melker Ellborg,Sunderland,4.0,10,10.0,2.5,2.6,0.0,25.76,a,
Goalkeeper,Mads Hermansen,West Ham,4.2,40,4.4,5.2,21.2,0.4,24.44,a,
Goalkeeper,José Malheiro de Sá,Wolves,4.2,56,3.1,5.2,41.4,1.3,23.91,a,
Goalkeeper,Gianluigi Donnarumma,Man City,5.6,102,3.9,4.2,54.2,9.6,23.5,a,
Goalkeeper,Bart Verbruggen,Brighton,4.5,91,3.1,3.4,71.4,5.4,21.56,a,
Goalkeeper,David Raya Martín,Arsenal,6.0,122,4.1,3.2,46.0,34.5,21.13,a,
Goalkeeper,Emiliano Martínez Romero,Aston Villa,5.1,97,3.9,3.2,58.4,4.4,20.91,a,
Goalkeeper,Jordan Pickford,Everton,5.6,117,4.0,2.5,68.6,13.3,20.22,a,
Midfielder,Bruno Borges Fernandes,Man Utd,10.0,166,6.4,6.2,269.6,40.5,55.39,a,
Midfielder,Antoine Semenyo,Man City,8.3,172,6.1,7.0,213.5,57.2,53.26,a,
Midfielder,Declan Rice,Arsenal,7.4,160,5.5,5.2,185.4,30.0,42.94,a,
Midfielder,Bukayo Saka,Arsenal,9.8,130,5.0,5.8,195.5,8.1,42.46,a,
Midfielder,Elliot Anderson,Nott'm Forest,5.5,131,4.5,5.8,165.7,7.0,40.57,a,
Midfielder,Morgan Gibbs-White,Nott'm Forest,7.3,122,4.2,5.5,175.9,3.8,39.03,a,
Midfielder,Alex Iwobi,Fulham,6.4,91,4.0,6.8,123.9,2.2,37.7,a,
Midfielder,James Garner,Everton,5.2,129,4.4,5.0,161.7,4.0,37.57,a,
Midfielder,Bryan Mbeumo,Man Utd,8.7,118,4.9,3.8,190.3,23.3,37.05,a,
Midfielder,Harry Wilson,Fulham,6.0,140,5.2,5.5,158.1,23.2,35.87,d,Ankle injury - 75% chance of playing
